x	y	v0	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14
0.22164784	1.8023498	0.75518185	0.6499663	0.9670468	0.18726136	1.3581052	0.13548337	1.5675409	0.5658088	1.347268	2.0572138	0.03685232	1.7836562	1.0139055	0.9911807	1.3957916
0.1835667	1.8986773	1.1816428	1.4588549	0.61692077	1.1204339	0.9769297	0.2648144	1.3639928	2.6153445	0.9614573	0.47588283	1.0547597	0.31937608	1.3636158	0.15912749	0.15956378
6.0544143	6.640817	0.14570673	0.22842337	0.1917988	4.7409315	0.55362475	0.045859158	0.2404319	1.1630484	1.5454623	0.49283415	0.60841066	0.2831149	0.2650661	0.7992559	0.4328087
5.2209496	4.2475424	0.13979526	0.39095923	0.0037859762	0.7603844	0.8245367	1.1936775	1.0574464	1.3270587	0.45986643	0.9954653	0.47836843	0.24813695	4.128583	5.5361867	0.719974
4.2846594	4.049644	0.43606862	0.1535301	0.88498676	1.5416119	0.119661786	4.2323713	0.5963787	2.398964	2.0845945	0.15317373	0.6633961	0.1300884	0.03296451	0.85676324	1.3166
0.083513744	3.0525904	2.8949685	0.17955926	2.1712317	0.0013739509	1.2815084	0.86099064	0.93225014	1.4833971	1.5306758	0.22992624	0.30542463	0.094729386	1.8335371	0.29371205	4.246507
0.08800641	1.3882504	1.229562	1.1359847	0.26011533	1.7835279	1.6748732	2.9879687	3.6273181	0.6387227	2.105284	0.22013439	0.5901731	2.074784	5.751124	2.0768561	1.4179763
1.6313931	1.3017383	0.53968287	0.48238766	0.019870657	1.2789799	0.11830288	1.6315885	0.27560663	2.65252	0.57176405	1.3462176	0.6394323	0.6740064	0.479292	0.07908343	0.023047406
0.63990086	1.433787	0.95656747	0.3073906	2.2407486	1.0192513	1.5232477	0.37811986	0.99319494	3.7969208	1.1900362	1.2617077	0.6429964	0.816833	0.041750975	0.49865758	1.3710916
1.590723	0.7972936	0.14704598	0.6417033	0.0894647	0.8951872	1.3320841	0.15846995	0.74401605	0.26436797	1.3857213	0.35828862	1.603112	0.47974482	0.96032876	3.2520812	0.17201109
0.022774862	4.05677	1.3907351	4.0757365	1.2261293	1.0091168	0.6921938	0.6606089	0.0287668	3.8952901	1.0187353	0.19800067	0.014791751	0.31795704	0.539973	1.8923534	0.051152427
0.25825882	2.433656	0.7620298	1.0464634	1.221867	0.33392265	0.29806292	0.8608705	0.55900145	0.5948968	0.02261079	0.84584653	0.42337507	0.4910628	0.60127217	0.09098968	0.7418507
0.3895392	0.5319626	1.2376035	1.3152406	0.61724406	0.4158238	0.86119556	0.83829635	3.2753084	2.4372025	0.41355652	1.0339476	0.7536254	1.3987626	0.06518734	1.4044365	1.8553866
0.0557402	5.568966	4.423934	1.5833828	3.2180274	0.077552654	0.62315995	1.0572908	0.021301128	0.77200425	0.90158147	1.4209164	0.3110101	0.7271292	0.1642434	1.6398869	4.0469475
0.029815862	1.9887477	1.0545431	0.16991046	0.6008542	4.570416	1.0010551	1.392395	1.4729398	2.9035356	0.699251	0.43914512	1.8416717	3.2237206	0.17008941	0.8873181	1.5357075
0.32211807	1.3526438	1.035244	0.6517306	0.32802162	4.068845	0.17361774	1.9841642	2.3892066	0.66500044	0.8159334	0.37556636	0.9954349	1.2354155	0.30692565	0.20132892	0.3689132
0.23681538	1.2674901	1.8760352	0.44842964	1.5401869	0.6984456	0.43492627	3.204622	3.1507444	0.028999604	1.2478768	0.13420455	1.4962504	0.6223043	0.8696985	0.12043288	0.10775234
0.12780024	0.51165956	0.65474665	1.2953268	0.5397233	4.2126217	3.421114	0.101540335	0.72167397	0.18431771	0.5206548	4.030025	0.3070053	0.03373409	0.77792764	1.5360982	0.55494684
